artist_name,artist_id,album_id,album_type,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode,artist
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.232,0.925,9,-19.327,0,0.329,0.908,0.576,0.835,0.0426,101.225,69iiDrtnLNPWviEvaaRuvC,https://api.spotify.com/v1/audio-analysis/69iiDrtnLNPWviEvaaRuvC,3,1,20413,FALSE,https://api.spotify.com/v1/tracks/69iiDrtnLNPWviEvaaRuvC,FALSE,Intro,NA,1,track,spotify:track:69iiDrtnLNPWviEvaaRuvC,https://open.spotify.com/track/69iiDrtnLNPWviEvaaRuvC,A Star Is Born Soundtrack,A,minor,A minor,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.373,0.937,11,-2.133,0,0.0834,8.11e-4,6.37e-5,0.815,0.46,150.242,4HUqrGAZ5f0gHRor7z9BFc,https://api.spotify.com/v1/audio-analysis/4HUqrGAZ5f0gHRor7z9BFc,4,1,183773,FALSE,https://api.spotify.com/v1/tracks/4HUqrGAZ5f0gHRor7z9BFc,FALSE,Black Eyes,NA,2,track,spotify:track:4HUqrGAZ5f0gHRor7z9BFc,https://open.spotify.com/track/4HUqrGAZ5f0gHRor7z9BFc,A Star Is Born Soundtrack,B,minor,B minor,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.283,0.22,5,-22.951,1,0.443,0.953,2.35e-6,0.79,0.334,150.884,4fIdH1l3SS0qdYRJiHwUnO,https://api.spotify.com/v1/audio-analysis/4fIdH1l3SS0qdYRJiHwUnO,4,1,42040,FALSE,https://api.spotify.com/v1/tracks/4fIdH1l3SS0qdYRJiHwUnO,FALSE,Somewhere Over The Rainbow - Dialogue,NA,3,track,spotify:track:4fIdH1l3SS0qdYRJiHwUnO,https://open.spotify.com/track/4fIdH1l3SS0qdYRJiHwUnO,A Star Is Born Soundtrack,F,major,F major,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.514,0.7,7,-11.251,1,0.724,0.807,0,0.796,0.863,101.59,4ta4r7V0QkZ15H4uyFCKGs,https://api.spotify.com/v1/audio-analysis/4ta4r7V0QkZ15H4uyFCKGs,5,1,19493,FALSE,https://api.spotify.com/v1/tracks/4ta4r7V0QkZ15H4uyFCKGs,FALSE,Fabulous French - Dialogue,NA,4,track,spotify:track:4ta4r7V0QkZ15H4uyFCKGs,https://open.spotify.com/track/4ta4r7V0QkZ15H4uyFCKGs,A Star Is Born Soundtrack,G,major,G major,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.276,0.405,8,-7.296,1,0.0329,0.758,0,0.706,0.335,76.18,3WKnfkgwrARwElktHSU5Ik,https://api.spotify.com/v1/audio-analysis/3WKnfkgwrARwElktHSU5Ik,4,1,179760,FALSE,https://api.spotify.com/v1/tracks/3WKnfkgwrARwElktHSU5Ik,FALSE,La Vie En Rose,NA,5,track,spotify:track:3WKnfkgwrARwElktHSU5Ik,https://open.spotify.com/track/3WKnfkgwrARwElktHSU5Ik,A Star Is Born Soundtrack,G#,major,G# major,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.718,0.128,6,-21.699,1,0.877,0.858,0,0.437,0.648,116.575,1dm7A3ofkewH84XwajxF1F,https://api.spotify.com/v1/audio-analysis/1dm7A3ofkewH84XwajxF1F,3,1,19133,FALSE,https://api.spotify.com/v1/tracks/1dm7A3ofkewH84XwajxF1F,FALSE,I'll Wait For You - Dialogue,NA,6,track,spotify:track:1dm7A3ofkewH84XwajxF1F,https://open.spotify.com/track/1dm7A3ofkewH84XwajxF1F,A Star Is Born Soundtrack,F#,major,F# major,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.699,0.282,7,-7.65,1,0.0374,0.798,1.23e-6,0.0981,0.359,79.776,6jMbPsH6lTOLs5n8Af26AG,https://api.spotify.com/v1/audio-analysis/6jMbPsH6lTOLs5n8Af26AG,4,1,159293,FALSE,https://api.spotify.com/v1/tracks/6jMbPsH6lTOLs5n8Af26AG,FALSE,Maybe It's Time,NA,7,track,spotify:track:6jMbPsH6lTOLs5n8Af26AG,https://open.spotify.com/track/6jMbPsH6lTOLs5n8Af26AG,A Star Is Born Soundtrack,G,major,G major,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.535,0.384,8,-21.937,1,0.814,0.766,0,0.253,0.386,133.153,3i4jlS5TlVjRovgq1ENgaJ,https://api.spotify.com/v1/audio-analysis/3i4jlS5TlVjRovgq1ENgaJ,4,1,31426,FALSE,https://api.spotify.com/v1/tracks/3i4jlS5TlVjRovgq1ENgaJ,FALSE,Parking Lot - Dialogue,NA,8,track,spotify:track:3i4jlS5TlVjRovgq1ENgaJ,https://open.spotify.com/track/3i4jlS5TlVjRovgq1ENgaJ,A Star Is Born Soundtrack,G#,major,G# major,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.584,0.915,0,-7.339,1,0.0579,0.173,0.822,0.842,0.359,99.983,2ue0yHbKwnsj8HXLLgMzVi,https://api.spotify.com/v1/audio-analysis/2ue0yHbKwnsj8HXLLgMzVi,4,1,172320,FALSE,https://api.spotify.com/v1/tracks/2ue0yHbKwnsj8HXLLgMzVi,FALSE,Out Of Time,NA,9,track,spotify:track:2ue0yHbKwnsj8HXLLgMzVi,https://open.spotify.com/track/2ue0yHbKwnsj8HXLLgMzVi,A Star Is Born Soundtrack,C,major,C major,Lady Gaga
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,album,2018-10-05,2018,day,0.285,0.787,9,-3.641,0,0.036,0.0145,4.3e-4,0.817,0.636,175.693,05Eq6SWneoZYvKQbm2xN25,https://api.spotify.com/v1/audio-analysis/05Eq6SWneoZYvKQbm2xN25,4,1,183226,FALSE,https://api.spotify.com/v1/tracks/05Eq6SWneoZYvKQbm2xN25,FALSE,Alibi,NA,10,track,spotify:track:05Eq6SWneoZYvKQbm2xN25,https://open.spotify.com/track/05Eq6SWneoZYvKQbm2xN25,A Star Is Born Soundtrack,A,minor,A minor,Lady Gaga
